Date,Open,High,Low,Close,Volume
1-May-12,132.65,135.74,132.65,133.48,3357034
30-Apr-12,133.05,133.10,131.66,132.70,3089205
27-Apr-12,134.63,135.13,133.39,134.44,3218748
26-Apr-12,133.93,136.20,131.62,133.21,5967736
25-Apr-12,130.00,136.18,128.94,134.82,14049212
24-Apr-12,139.30,139.91,135.75,135.83,6924651
23-Apr-12,141.35,141.97,135.69,139.66,6834753
20-Apr-12,146.41,146.65,144.50,144.91,3398973
19-Apr-12,147.96,149.42,144.36,144.74,4026668
18-Apr-12,148.05,148.75,145.65,147.92,3565997
17-Apr-12,147.58,149.48,146.50,147.49,3659557
16-Apr-12,152.50,152.85,146.14,147.66,5442472
13-Apr-12,150.48,152.84,148.92,151.38,6097198
12-Apr-12,147.35,151.84,145.80,151.32,6035582
11-Apr-12,147.00,148.00,145.10,146.16,3965115
10-Apr-12,150.06,151.86,143.70,144.42,6404073
9-Apr-12,146.25,149.56,145.40,148.80,4486439
5-Apr-12,144.06,148.50,144.00,148.25,4073139
4-Apr-12,145.54,146.64,143.51,144.69,3644736
3-Apr-12,147.98,148.33,146.57,147.06,3766452
2-Apr-12,144.63,148.57,144.10,146.70,5052697
30-Mar-12,147.89,148.10,144.16,145.77,5208273
29-Mar-12,145.11,147.50,143.86,146.41,5746252
28-Mar-12,150.78,150.80,146.00,148.09,6273476
27-Mar-12,150.27,154.15,148.50,150.02,7585596
26-Mar-12,145.62,150.97,145.56,150.80,8601241
23-Mar-12,144.24,145.00,141.86,144.32,6027689
22-Mar-12,139.13,144.96,139.00,143.72,7963413
21-Mar-12,137.60,142.85,137.60,140.61,8904225
20-Mar-12,136.35,137.90,134.25,137.35,4438140
19-Mar-12,135.99,139.20,134.82,137.94,4437244
16-Mar-12,136.32,138.45,134.50,136.09,4385406
15-Mar-12,137.20,137.33,135.31,136.34,3319781
14-Mar-12,139.33,140.84,135.09,136.51,5024122
13-Mar-12,138.84,140.22,137.60,140.18,5055479
12-Mar-12,138.37,140.08,136.15,137.80,3485923
9-Mar-12,138.32,139.99,138.07,138.53,4212605
8-Mar-12,137.14,138.10,136.28,137.19,3204469
7-Mar-12,135.29,135.76,133.51,134.94,3592098
6-Mar-12,133.70,134.45,131.40,133.27,5066794
5-Mar-12,140.05,140.84,135.90,136.66,5109466
2-Mar-12,139.70,141.48,139.07,141.43,5944991
1-Mar-12,137.98,139.84,136.20,138.87,4659801
29-Feb-12,139.00,139.59,136.19,136.70,4690907
28-Feb-12,135.00,138.40,134.61,138.29,5237874
27-Feb-12,133.79,135.80,133.70,134.54,3071176
24-Feb-12,133.77,135.60,133.62,134.89,4615885
23-Feb-12,134.53,134.99,131.70,132.85,4394393
22-Feb-12,130.86,134.90,130.75,133.71,7248515
21-Feb-12,136.93,137.95,129.02,130.64,10794452
17-Feb-12,140.92,140.92,134.68,136.90,15899100
16-Feb-12,139.61,142.49,137.55,141.83,10380374
15-Feb-12,142.09,142.36,137.38,138.32,6128386
14-Feb-12,141.72,142.22,139.68,140.86,7144636
13-Feb-12,138.80,140.09,137.13,140.00,6231900
10-Feb-12,134.28,138.00,133.49,136.59,7131823
9-Feb-12,131.65,135.83,131.00,135.44,6769042
8-Feb-12,130.76,132.26,129.29,130.89,5335776
7-Feb-12,131.02,132.23,128.94,129.49,5829032
6-Feb-12,130.81,132.78,129.72,131.37,6011794
3-Feb-12,132.52,135.68,132.12,134.53,7013776
2-Feb-12,128.00,131.23,127.11,130.79,5954875
1-Feb-12,129.81,129.90,126.06,127.73,5829406
31-Jan-12,129.01,130.66,125.81,127.52,6415151
30-Jan-12,130.93,132.25,128.12,130.73,7871216
27-Jan-12,124.20,131.90,124.11,131.36,8589708
26-Jan-12,124.29,127.21,122.83,123.90,5643928
