Date,Open,High,Low,Close,Volume
1-May-12,58.49,61.41,58.13,59.80,2949145
30-Apr-12,57.00,59.60,57.00,58.51,2730227
27-Apr-12,59.45,60.04,58.37,59.22,2011733
26-Apr-12,56.83,59.40,56.80,59.02,2957520
25-Apr-12,56.40,57.46,56.01,56.99,2668348
24-Apr-12,56.14,57.90,55.66,56.82,3521414
23-Apr-12,57.90,57.97,55.33,56.64,3381180
20-Apr-12,59.55,60.35,58.04,58.25,2410893
19-Apr-12,59.60,60.73,58.35,59.00,2839107
18-Apr-12,61.48,61.88,57.68,59.13,6559825
17-Apr-12,62.16,62.65,60.94,60.96,3214570
16-Apr-12,65.00,65.00,61.20,61.56,3619159
13-Apr-12,64.79,65.36,63.08,64.00,3388184
12-Apr-12,61.95,65.79,61.20,65.23,5529344
11-Apr-12,61.30,62.25,60.59,61.33,2597424
10-Apr-12,62.31,62.65,59.50,59.99,3285986
9-Apr-12,60.75,62.79,60.52,61.30,2743021
5-Apr-12,61.88,63.28,61.64,61.81,3370426
4-Apr-12,63.00,63.10,60.82,61.41,3738482
3-Apr-12,65.12,66.18,63.45,63.60,4257245
2-Apr-12,62.39,65.47,61.85,63.66,8756715
30-Mar-12,66.53,68.18,64.80,65.00,5386494
29-Mar-12,66.01,66.66,65.00,65.75,3352819
28-Mar-12,68.32,69.56,65.56,66.71,4989874
27-Mar-12,66.18,70.75,64.21,68.64,8769198
26-Mar-12,69.84,70.31,65.70,65.78,7829867
23-Mar-12,70.97,71.30,68.65,69.03,3753613
22-Mar-12,69.90,71.50,68.83,70.15,4116690
21-Mar-12,71.86,73.42,70.19,70.79,5480391
20-Mar-12,72.86,73.00,69.25,71.65,6420597
19-Mar-12,74.03,76.29,73.76,74.10,4007980
16-Mar-12,71.62,75.70,71.62,74.60,6051587
15-Mar-12,72.95,75.53,71.00,74.12,5168597
14-Mar-12,77.00,77.74,71.33,72.24,7479408
13-Mar-12,76.00,77.00,73.80,75.35,6205185
12-Mar-12,80.26,80.80,74.30,74.69,7346182
9-Mar-12,75.19,78.29,74.70,77.40,6699658
8-Mar-12,74.95,76.13,73.90,74.65,5273594
7-Mar-12,69.66,73.83,68.50,72.60,7226286
6-Mar-12,69.93,70.18,66.85,67.80,6010849
5-Mar-12,73.37,75.40,71.17,71.48,5606308
2-Mar-12,72.48,76.65,72.26,74.60,10125638
1-Mar-12,68.57,69.95,67.04,69.76,4581710
29-Feb-12,70.00,71.47,67.62,68.06,6715153
28-Feb-12,65.51,71.90,64.71,70.04,15708223
27-Feb-12,61.40,63.24,60.60,62.95,5455994
24-Feb-12,62.35,63.73,61.10,61.41,3537981
23-Feb-12,60.56,63.43,60.34,62.35,4496597
22-Feb-12,64.20,64.33,61.04,62.52,5457143
21-Feb-12,67.95,68.50,63.44,64.05,4931578
17-Feb-12,69.17,69.37,66.23,67.74,3730093
16-Feb-12,67.20,69.31,65.70,68.69,4159942
15-Feb-12,69.63,69.99,66.25,66.38,3896141
14-Feb-12,70.70,70.70,67.35,68.12,4248058
13-Feb-12,66.65,70.76,66.57,70.21,6550752
10-Feb-12,64.30,67.32,63.64,65.14,4951893
9-Feb-12,66.59,67.40,63.30,65.43,6092825
8-Feb-12,66.59,67.65,64.75,65.69,5673694
7-Feb-12,68.20,68.78,64.10,65.43,8730274
6-Feb-12,70.66,72.25,69.60,70.08,5656581
3-Feb-12,76.55,76.65,73.50,75.00,5556132
2-Feb-12,75.10,77.80,73.23,75.30,7018048
1-Feb-12,71.26,74.44,70.86,73.89,6384361
31-Jan-12,69.46,70.82,68.80,70.27,4653462
30-Jan-12,69.61,71.40,67.75,69.23,8713377
27-Jan-12,62.00,71.08,61.07,69.96,10223353
26-Jan-12,64.98,65.77,61.80,62.39,3176500
25-Jan-12,63.62,64.47,62.78,64.30,2748447
24-Jan-12,63.47,64.50,62.10,64.44,2877185
23-Jan-12,65.37,67.58,63.55,64.48,4723898
20-Jan-12,61.76,65.20,61.31,64.96,5573909
19-Jan-12,62.08,63.16,60.10,62.01,5764296
18-Jan-12,60.19,61.45,58.13,60.66,5385605
