Date,Open,High,Low,Close,Volume
18-Apr-12,613.72,620.25,602.71,608.34,34090353
17-Apr-12,578.94,610.00,571.91,609.70,36624496
16-Apr-12,610.06,610.28,578.25,580.13,37528008
13-Apr-12,624.11,624.70,603.51,605.23,30701581
12-Apr-12,625.00,631.33,620.50,622.77,21940309
11-Apr-12,636.20,636.87,623.34,626.20,24878967
10-Apr-12,639.93,644.00,626.00,628.44,31774636
9-Apr-12,626.13,639.84,625.30,636.23,21340578
5-Apr-12,626.98,634.66,623.40,633.68,22902694
4-Apr-12,624.35,625.86,617.00,624.31,20463585
3-Apr-12,627.30,632.21,622.51,629.32,29714508
2-Apr-12,601.83,618.77,600.38,618.63,21369494
